,labeledCell,kernel,intensity,classLabel
0,0,0,1.0,1
1,0,5,0.9137421882214704,1
2,0,4,0.9308079136862724,1
3,0,3,0.9483849598839739,1
4,1,4,0.9376621411020748,1
5,1,5,0.9203924139839238,1
6,1,0,1.0,1
7,1,3,0.9525714366795396,1
8,2,5,0.8581743888551937,1
9,2,3,0.9374953570460479,1
10,2,0,1.0,1
11,2,4,0.9059642107077331,1
12,3,5,0.8895235058422761,1
13,3,3,0.9479707778391805,1
14,3,4,0.9203990018712077,1
15,3,0,1.0,1
16,4,5,0.9055348709778571,1
17,4,4,0.9275840061319963,1
18,4,0,1.0,1
19,4,3,0.9465881268588406,1
20,5,4,0.9089212274067545,1
21,5,3,0.9252118347602458,1
22,5,0,1.0,1
23,5,5,0.8911370867347593,1
24,6,4,0.9346573168005393,1
25,6,3,0.9485802801559964,1
26,6,0,1.0,1
27,6,5,0.9211084999084279,1
28,7,4,0.9075768790346536,1
29,7,3,0.932538616565884,1
30,7,5,0.8775796363300531,1
31,7,0,1.0,1
32,8,4,0.9098756540476568,1
33,8,5,0.8786901930620207,1
34,8,0,1.0,1
35,8,3,0.9380379428200287,1
36,9,3,0.952525215574723,1
37,9,5,0.9187324211434197,1
38,9,0,1.0,1
39,9,4,0.9369482254854328,1
40,10,4,0.8573292839995194,1
41,10,0,1.0,1
42,10,3,0.907140184140866,1
43,10,5,0.8021011818167207,1
44,11,3,0.9433851729006922,1
45,11,4,0.912944827022707,1
46,11,5,0.8893822722850774,1
47,11,0,1.0,1
48,12,4,0.9093899030548575,1
49,12,0,1.0,1
50,12,3,0.9422148997127843,1
51,12,5,0.8566082616048576,1
52,13,0,1.0,1
53,13,5,0.8976608868555841,1
54,13,4,0.9190204992168848,1
55,13,3,0.9446836961753922,1
56,14,4,0.9261715292107063,1
57,14,3,0.941675752377353,1
58,14,0,1.0,1
59,14,5,0.9103145503577249,1
60,15,3,0.9544354424134242,1
61,15,0,1.0,1
62,15,5,0.9256201382633685,1
63,15,4,0.9389526463797292,1
64,16,0,1.0,1
65,16,3,0.9242664754979774,1
66,16,5,0.8399047570280095,1
67,16,4,0.8886841570600545,1
68,17,3,0.932031693660972,1
69,17,5,0.8657995805924944,1
70,17,0,1.0,1
71,17,4,0.9030201481236099,1
72,18,4,0.9281847752788598,1
73,18,3,0.9484124956301305,1
74,18,5,0.9073081412341849,1
75,18,0,1.0,1
76,19,4,0.9583110707238135,1
77,19,3,0.9650720198193853,1
78,19,5,0.9535498702439628,1
79,19,0,1.0,1
80,20,4,0.9373310628340056,1
81,20,0,1.0,1
82,20,3,0.9522140922964565,1
83,20,5,0.9188657721879553,1
84,21,0,1.0,1
85,21,3,0.9508951152851151,1
86,21,5,0.9171361272636307,1
87,21,4,0.932654031636733,1
88,22,3,0.9281226159396121,1
89,22,0,1.0,1
90,22,5,0.8757844636894426,1
91,22,4,0.9033897265446794,1
92,23,3,0.9490695903182248,1
93,23,0,1.0,1
94,23,5,0.8928529598940922,1
95,23,4,0.9231787677999322,1
96,24,3,0.9458298276458994,1
97,24,5,0.924929160936681,1
98,24,0,1.0,1
99,24,4,0.9345594052033105,1
100,25,0,1.0,1
101,25,3,0.9430825573340045,1
102,25,4,0.91095644457821,1
103,25,5,0.8734638067340049,1
104,26,0,1.0,1
105,26,3,0.9597050414023909,1
106,26,4,0.9512081889351889,1
107,26,5,0.9380396725852568,1
108,27,3,0.9320433453471796,1
109,27,5,0.8587854110854343,1
110,27,4,0.9021715449912409,1
111,27,0,1.0,1
112,28,4,0.923369127229453,1
113,28,5,0.8957980499934337,1
114,28,3,0.9470146201317091,1
115,28,0,1.0,1
116,29,5,0.9096555785464588,1
117,29,3,0.9458197535724804,1
118,29,4,0.9288879938181224,1
119,29,0,1.0,1
120,30,4,0.8885995366829386,1
121,30,0,1.0,1
122,30,5,0.8466555140971497,1
123,30,3,0.9241317700155786,1
124,31,0,1.0,1
125,31,3,0.9441632428381467,1
126,31,4,0.9200586610426346,1
127,31,5,0.8924626031708135,1
128,32,0,1.0,1
129,32,3,0.9381980016376815,1
130,32,4,0.9157867917487605,1
131,32,5,0.8912715481201422,1
132,33,5,0.8548374195822211,1
133,33,3,0.9424174074565476,1
134,33,0,1.0,1
135,33,4,0.9051302515990475,1
136,34,5,0.8732375189732137,1
137,34,3,0.949141463926855,1
138,34,0,1.0,1
139,34,4,0.9184897174473337,1
140,35,5,0.9207063533852828,1
141,35,3,0.944488906689882,1
142,35,4,0.932425072264226,1
143,35,0,1.0,1
144,36,3,0.9201814441761719,1
145,36,5,0.8009296061278686,1
146,36,0,1.0,1
147,36,4,0.8699902574705352,1
148,37,0,1.0,1
149,37,4,0.9183074894358237,1
150,37,5,0.8909079872732805,1
151,37,3,0.9423809508106744,1
152,38,0,1.0,1
153,38,5,0.9054656915623733,1
154,38,3,0.9471314954723643,1
155,38,4,0.9274387682105669,1
156,39,0,1.0,1
157,39,5,0.839549016058545,1
158,39,3,0.9147879978967873,1
159,39,4,0.8834553024230043,1
160,40,3,0.95102834251486,1
161,40,4,0.9303299861918674,1
162,40,5,0.9003452939546944,1
163,40,0,1.0,1
164,41,5,0.9184729122234817,1
165,41,0,1.0,1
166,41,3,0.9533537316002119,1
167,41,4,0.9375639203826278,1
168,42,3,0.9334507280622941,1
169,42,4,0.9198192131855966,1
170,42,0,1.0,1
171,42,5,0.9019552391203247,1
172,43,4,0.9032839883787942,1
173,43,0,1.0,1
174,43,5,0.8739327496918733,1
175,43,3,0.9323455407618313,1
